        x           yn          zn          ∫yn² 
-3.276553124e+00 1.086586740e+02 -1.815488847e+00 1.202774490e+08
-3.256513044e+00 1.086068382e+02 -3.666050884e+00 1.272828062e+08
-3.236472964e+00 1.085179260e+02 -5.515466774e+00 1.347126797e+08
-3.216432884e+00 1.083919655e+02 -7.363105144e+00 1.425939632e+08
-3.196392804e+00 1.082289977e+02 -9.208335192e+00 1.509552932e+08
-3.176352724e+00 1.080290761e+02 -1.105052690e+01 1.598271638e+08
-3.156312644e+00 1.077922669e+02 -1.288905126e+01 1.692420484e+08
-3.136272565e+00 1.075186487e+02 -1.472328047e+01 1.792345300e+08
-3.116232485e+00 1.072083129e+02 -1.655258815e+01 1.898414398e+08
-3.096192405e+00 1.068613634e+02 -1.837634960e+01 2.011020057e+08
-3.076152325e+00 1.064779164e+02 -2.019394194e+01 2.130580099e+08
-3.056112245e+00 1.060581008e+02 -2.200474437e+01 2.257539571e+08
-3.036072165e+00 1.056020579e+02 -2.380813839e+01 2.392372550e+08
-3.016032085e+00 1.051099412e+02 -2.560350797e+01 2.535584050e+08
-2.995992005e+00 1.045819167e+02 -2.739023979e+01 2.687712072e+08
-2.975951925e+00 1.040181625e+02 -2.916772347e+01 2.849329787e+08
-2.955911845e+00 1.034188692e+02 -3.093535171e+01 3.021047856e+08
-2.935871765e+00 1.027842392e+02 -3.269252057e+01 3.203516920e+08
-2.915831685e+00 1.021144871e+02 -3.443862963e+01 3.397430242e+08
-2.895791605e+00 1.014098397e+02 -3.617308223e+01 3.603526537e+08
-2.875751525e+00 1.006705354e+02 -3.789528563e+01 3.822592987e+08
-2.855711445e+00 9.989682460e+01 -3.960465125e+01 4.055468456e+08
-2.835671365e+00 9.908896950e+01 -4.130059487e+01 4.303046921e+08
-2.815631285e+00 9.824724391e+01 -4.298253679e+01 4.566281142e+08
-2.795591205e+00 9.737193323e+01 -4.464990209e+01 4.846186562e+08
-2.775551125e+00 9.646333434e+01 -4.630212077e+01 5.143845483e+08
-2.755511045e+00 9.552175550e+01 -4.793862798e+01 5.460411515e+08
-2.735470966e+00 9.454751625e+01 -4.955886419e+01 5.797114329e+08
-2.715430886e+00 9.354094729e+01 -5.116227540e+01 6.155264723e+08
-2.695390806e+00 9.250239037e+01 -5.274831332e+01 6.536260032e+08
-2.675350726e+00 9.143219821e+01 -5.431643556e+01 6.941589907e+08
-2.655310646e+00 9.033073430e+01 -5.586610581e+01 7.372842474e+08
-2.635270566e+00 8.919837287e+01 -5.739679404e+01 7.831710913e+08
-2.615230486e+00 8.803549870e+01 -5.890797665e+01 8.320000479e+08
-2.595190406e+00 8.684250699e+01 -6.039913669e+01 8.839635998e+08
-2.575150326e+00 8.561980327e+01 -6.186976401e+01 9.392669865e+08
-2.555110246e+00 8.436780323e+01 -6.331935543e+01 9.981290585e+08
-2.535070166e+00 8.308693258e+01 -6.474741492e+01 1.060783189e+09
-2.515030086e+00 8.177762691e+01 -6.615345379e+01 1.127478246e+09
-2.494990006e+00 8.044033153e+01 -6.753699083e+01 1.198479634e+09
-2.474949926e+00 7.907550135e+01 -6.889755247e+01 1.274070399e+09
-2.454909846e+00 7.768360069e+01 -7.023467298e+01 1.354552415e+09
-2.434869766e+00 7.626510314e+01 -7.154789459e+01 1.440247650e+09
-2.414829686e+00 7.482049141e+01 -7.283676766e+01 1.531499509e+09
-2.394789606e+00 7.335025714e+01 -7.410085085e+01 1.628674283e+09
-2.374749526e+00 7.185490073e+01 -7.533971124e+01 1.732162684e+09
-2.354709446e+00 7.033493120e+01 -7.655292451e+01 1.842381484e+09
-2.334669366e+00 6.879086602e+01 -7.774007507e+01 1.959775277e+09
-2.314629287e+00 6.722323087e+01 -7.890075618e+01 2.084818345e+09
-2.294589207e+00 6.563255954e+01 -8.003457014e+01 2.218016661e+09
-2.274549127e+00 6.401939371e+01 -8.114112839e+01 2.359910025e+09
-2.254509047e+00 6.238428275e+01 -8.222005165e+01 2.511074342e+09
-2.234468967e+00 6.072778357e+01 -8.327097004e+01 2.672124062e+09
-2.214428887e+00 5.905046041e+01 -8.429352325e+01 2.843714776e+09
-2.194388807e+00 5.735288464e+01 -8.528736059e+01 3.026545996e+09
-2.174348727e+00 5.563563460e+01 -8.625214120e+01 3.221364119e+09
-2.154308647e+00 5.389929535e+01 -8.718753407e+01 3.428965599e+09
-2.134268567e+00 5.214445851e+01 -8.809321824e+01 3.650200327e+09
-2.114228487e+00 5.037172206e+01 -8.896888287e+01 3.885975243e+09
-2.094188407e+00 4.858169011e+01 -8.981422731e+01 4.137258201e+09
-2.074148327e+00 4.677497272e+01 -9.062896130e+01 4.405082086e+09
-2.054108247e+00 4.495218566e+01 -9.141280497e+01 4.690549217e+09
-2.034068167e+00 4.311395024e+01 -9.216548900e+01 4.994836055e+09
-2.014028087e+00 4.126089308e+01 -9.288675469e+01 5.319198218e+09
-1.993988007e+00 3.939364587e+01 -9.357635403e+01 5.664975856e+09
-1.973947927e+00 3.749753067e+01 -9.605101746e+01 6.028945129e+09
-1.953907847e+00 3.555328915e+01 -9.835045034e+01 6.405467698e+09
-1.933867767e+00 3.356440723e+01 -1.004777710e+02 6.795085533e+09
-1.913827688e+00 3.153430564e+01 -1.024364175e+02 7.198412387e+09
-1.893787608e+00 2.946633374e+01 -1.042301201e+02 7.616137229e+09
-1.873747528e+00 2.736376390e+01 -1.058628754e+02 8.049027913e+09
-1.853707448e+00 2.522978636e+01 -1.073389199e+02 8.497935127e+09
-1.833667368e+00 2.306750464e+01 -1.086627048e+02 8.963796653e+09
-1.813627288e+00 2.087993144e+01 -1.098388725e+02 9.447641978e+09
-1.793587208e+00 1.866998502e+01 -1.108722320e+02 9.950597302e+09
-1.773547128e+00 1.644048603e+01 -1.117677372e+02 1.047389098e+10
-1.753507048e+00 1.419415479e+01 -1.125304646e+02 1.101885947e+10
-1.733466968e+00 1.193360904e+01 -1.131655926e+02 1.158695374e+10
-1.713426888e+00 9.661362016e+00 -1.136783821e+02 1.217974638e+10
-1.693386808e+00 7.379820984e+00 -1.140741568e+02 1.279893921e+10
-1.673346728e+00 5.091286131e+00 -1.143582861e+02 1.344637171e+10
-1.653306648e+00 2.797949791e+00 -1.145361673e+02 1.412403009e+10
-1.633266568e+00 5.018960121e-01 -1.146132103e+02 1.483405728e+10
-1.613226488e+00 -1.794899557e+00 -1.145948219e+02 1.557876377e+10
-1.593186408e+00 -4.090569495e+00 -1.144863921e+02 1.636063939e+10
-1.573146328e+00 -6.383354158e+00 -1.142932806e+02 1.718236618e+10
-1.553106248e+00 -8.671600967e+00 -1.140208049e+02 1.804683240e+10
-1.533066168e+00 -1.095376347e+01 -1.136742284e+02 1.895714776e+10
-1.513026088e+00 -1.322840015e+01 -1.132587502e+02 1.991665999e+10
-1.492986009e+00 -1.549417310e+01 -1.127794955e+02 2.092897284e+10
-1.472945929e+00 -1.774984642e+01 -1.122415066e+02 2.199796567e+10
-1.452905849e+00 -1.999428450e+01 -1.116497348e+02 2.312781478e+10
-1.432865769e+00 -2.222645016e+01 -1.110090333e+02 2.432301649e+10
-1.412825689e+00 -2.444540260e+01 -1.103241508e+02 2.558841228e+10
-1.392785609e+00 -2.665029528e+01 -1.095997255e+02 2.692921609e+10
-1.372745529e+00 -2.884037362e+01 -1.088402800e+02 2.835104394e+10
-1.352705449e+00 -3.101497270e+01 -1.080502169e+02 2.985994613e+10
-1.332665369e+00 -3.317351480e+01 -1.072338150e+02 3.146244212e+10
-1.312625289e+00 -3.531550688e+01 -1.063952262e+02 3.316555848e+10
-1.292585209e+00 -3.744053802e+01 -1.055384725e+02 3.497687003e+10
-1.272545129e+00 -3.954827681e+01 -1.046674441e+02 3.690454452e+10
-1.252505049e+00 -4.163846869e+01 -1.037858976e+02 3.895739106e+10
-1.232464969e+00 -4.371093324e+01 -1.028974551e+02 4.114491278e+10
-1.212424889e+00 -4.576556152e+01 -1.020056030e+02 4.347736387e+10
-1.192384809e+00 -4.780231331e+01 -1.011136921e+02 4.596581155e+10
-1.172344729e+00 -4.982121440e+01 -1.002249375e+02 4.862220329e+10
-1.152304649e+00 -5.182235391e+01 -9.934241864e+01 5.145943977e+10
-1.132264569e+00 -5.380588151e+01 -9.846908055e+01 5.449145402e+10
-1.112224489e+00 -5.577200478e+01 -9.760773443e+01 5.773329737e+10
-1.092184409e+00 -5.772098656e+01 -9.676105914e+01 6.120123266e+10
-1.072144330e+00 -5.965314224e+01 -9.593160245e+01 6.491283538e+10
-1.052104250e+00 -6.156883721e+01 -9.512178302e+01 6.888710351e+10
-1.032064170e+00 -6.346848425e+01 -9.433389198e+01 7.314457665e+10
-1.012024090e+00 -6.535254102e+01 -9.357009523e+01 7.770746533e+10
-9.919840097e-01 -6.722150755e+01 -9.283243555e+01 8.259979134e+10
-9.719439298e-01 -6.907592378e+01 -9.212283483e+01 8.784753999e+10
-9.519038498e-01 -7.091636720e+01 -9.144309662e+01 9.347882548e+10
-9.318637699e-01 -7.274345046e+01 -9.079490853e+01 9.952407014e+10
-9.118236899e-01 -7.455781907e+01 -9.017984477e+01 1.060161992e+11
-8.917836100e-01 -7.636014918e+01 -8.959936888e+01 1.129908520e+11
-8.717435300e-01 -7.815114536e+01 -8.905483622e+01 1.204866112e+11
-8.517034501e-01 -7.993153844e+01 -8.854749666e+01 1.285452516e+11
-8.316633701e-01 -8.170208346e+01 -8.807849725e+01 1.372120104e+11
-8.116232902e-01 -8.346355760e+01 -8.764888482e+01 1.465358794e+11
-7.915832102e-01 -8.521675818e+01 -8.725960854e+01 1.565699240e+11
-7.715431303e-01 -8.696250078e+01 -8.691152253e+01 1.673716272e+11
-7.515030503e-01 -8.870161730e+01 -8.660538828e+01 1.790032645e+11
-7.314629704e-01 -9.043495415e+01 -8.634187720e+01 1.915323097e+11
-7.114228904e-01 -9.216337045e+01 -8.612157289e+01 2.050318754e+11
-6.913828105e-01 -9.388773632e+01 -8.594497342e+01 2.195811914e+11
-6.713427305e-01 -9.560893114e+01 -8.581249358e+01 2.352661226e+11
-6.513026506e-01 -9.732784195e+01 -8.572446692e+01 2.521797318e+11
-6.312625706e-01 -9.904536178e+01 -8.568114775e+01 2.704228894e+11
-6.112224907e-01 -1.007623881e+02 -8.568271299e+01 2.901049350e+11
-5.911824107e-01 -1.024798214e+02 -8.572926394e+01 3.113443945e+11
-5.711423308e-01 -1.041985634e+02 -8.582082795e+01 3.342697580e+11
-5.511022508e-01 -1.059195159e+02 -8.595735984e+01 3.590203230e+11
-5.310621709e-01 -1.076435792e+02 -8.613874334e+01 3.857471084e+11
-5.110220909e-01 -1.093716506e+02 -8.636479233e+01 4.146138448e+11
-4.909820110e-01 -1.111046231e+02 -8.663525187e+01 4.457980489e+11
-4.709419310e-01 -1.128433841e+02 -8.694979925e+01 4.794921862e+11
-4.509018511e-01 -1.145888140e+02 -8.730804472e+01 5.159049317e+11
-4.308617711e-01 -1.163417846e+02 -8.770953222e+01 5.552625352e+11
-4.108216912e-01 -1.181031584e+02 -8.815373992e+01 5.978103002e+11
-3.907816112e-01 -1.198737865e+02 -8.864008053e+01 6.438141849e+11
-3.707415313e-01 -1.216545079e+02 -8.916790162e+01 6.935625362e+11
-3.507014513e-01 -1.234461480e+02 -8.973648563e+01 7.473679665e+11
-3.306613714e-01 -1.252495171e+02 -9.034504990e+01 8.055693842e+11
-3.106212914e-01 -1.270654096e+02 -9.099274641e+01 8.685341922e+11
-2.905812114e-01 -1.288946019e+02 -9.167866143e+01 9.366606645e+11
-2.705411315e-01 -1.307378520e+02 -9.240181509e+01 1.010380518e+12
-2.505010515e-01 -1.325958974e+02 -9.316116072e+01 1.090161693e+12
-2.304609716e-01 -1.344694541e+02 -9.395558408e+01 1.176511360e+12
-2.104208916e-01 -1.363592154e+02 -9.478390249e+01 1.269979163e+12
-1.903808117e-01 -1.382658500e+02 -9.564486381e+01 1.371160737e+12
-1.703407317e-01 -1.401900011e+02 -9.653714524e+01 1.480701492e+12
-1.503006518e-01 -1.421322850e+02 -9.745935210e+01 1.599300714e+12
-1.302605718e-01 -1.440932890e+02 -9.841001639e+01 1.727715977e+12
-1.102204919e-01 -1.460735706e+02 -9.938759530e+01 1.866767917e+12
-9.018041193e-02 -1.480736558e+02 -1.003904696e+02 2.017345379e+12
-7.014033198e-02 -1.500940375e+02 -1.014169419e+02 2.180410965e+12
-5.010025203e-02 -1.521351736e+02 -1.024652347e+02 2.357007015e+12
-3.006017208e-02 -1.541974862e+02 -1.035334889e+02 2.548262062e+12
-1.002009213e-02 -1.562813590e+02 -1.046197612e+02 2.755397775e+12
1.001998782e-02 -1.583871363e+02 -1.057220224e+02 2.979736444e+12
3.006006777e-02 -1.605151210e+02 -1.068381554e+02 3.222709035e+12
5.010014772e-02 -1.626655726e+02 -1.079659524e+02 3.485863859e+12
7.014022768e-02 -1.648387058e+02 -1.091031134e+02 3.770875898e+12
